127.0.0.1 - - [26/Nov/2024:20:09:42 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:09:43 -0300] "GET /TPINT_GRUPO_6_LAB4/InicioAdmin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:09:43 -0300] "GET /TPINT_GRUPO_6_LAB4/Login.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:09:48 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:09:48 -0300] "GET /TPINT_GRUPO_6_LAB4/InicioAdmin.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:10:01 -0300] "GET /TPINT_GRUPO_6_LAB4/AltaClienteAdmin.jsp HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:10:02 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:17:31 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:17:39 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCliente HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:17:39 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:17:53 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCliente HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:17:53 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:00 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCliente HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:00 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:17 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCliente HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:17 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:20 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCliente HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:20 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCliente?Param=listarClientes HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:25 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:30 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:34 -0300] "GET /TPINT_GRUPO_6_LAB4/styles.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:18:37 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCuenta?Param=listarCuentas HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:19:04 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCuenta?Param=listarCuentas HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:19:26 -0300] "GET /TPINT_GRUPO_6_LAB4/ServletCuenta?Param=listarCuentas HTTP/1.1" 200 5814
0:0:0:0:0:0:0:1 - - [26/Nov/2024:20:19:45 -0300] "POST /TPINT_GRUPO_6_LAB4/ServletCuenta HTTP/1.1" 200 2166
